region_hydro_ope,periode,esp_nom_commun,esp_nom_commun_nb
D,2007,"Chabot, Loche franche, Perche, Ablette, Gardon, Chevaine, Goujon, Vandoise, Gremille, Vairon, Truite de riviere, Spirlin, Loche de rivière, Brochet, Rotengle, Bouvière, Barbeau fluviatile, Able de Heckel, Carpe commune, Brème commune, Epinoche, Tanche, Brème bordelière, Loche d'étang",24
D,2009,"Loche franche, Chabot, Perche, Ablette, Goujon, Vandoise, Chevaine, Gardon, Truite arc-en-ciel, Truite de riviere, Vairon, Loche de rivière, Spirlin, Gremille, Bouvière, Epinoche, Brochet, Brème bordelière, Rotengle, Carassin, Barbeau fluviatile, Lamproie de planer, Carpe commune",23
D,2011,"Chabot, Loche franche, Goujon, Ablette, Vandoise, Truite de riviere, Perche, Chevaine, Vairon, Gremille, Gardon, Epinoche, Loche de rivière, Brochet, Barbeau fluviatile, Carassin doré, Cyprinidés, Bouvière, Brème commune, Rotengle, Tanche, Carpe miroir, Lamproie de planer, Truite arc-en-ciel",24
D,2013,"Gardon, Ablette, Chabot, Loche franche, Goujon, Chevaine, Vandoise, Bouvière, Perche, Brème commune, Truite de riviere, Vairon, Gremille, Truite arc-en-ciel, Loche de rivière, Epinoche, Barbeau fluviatile, Pseudorasbora, Rotengle, Brochet, Brème bordelière, Lamproie de planer, Carassin argente, Carpe commune",24
D,2015,"Chabot, Loche franche, Vandoise, Goujon, Vairon, Chevaine, Ablette, Gardon, Bouvière, Gremille, Perche, Epinoche, Barbeau fluviatile, Brochet, Rotengle, Brème bordelière, Pseudorasbora, Able de Heckel, Loche de rivière, Tanche, Truite de riviere, Brème commune, Lamproie de planer",23
D,2017,"Loche franche, Vairon, Vandoise, Chevaine, Perche, Goujon, Gardon, Ablette, Loche de rivière, Chabot, Barbeau fluviatile, Tanche, Epinoche, Spirlin, Brème commune, Brème bordelière, Truite de riviere, Anguille d'Europe, Bouvière, Brochet, Cyprinidés, Rotengle, Carassin argente, Carrassin doré, Lamproie de planer, Carpe miroir, Carpe commune, Able de Heckel",28
D,2019,"Vairon, Vandoise, Loche franche, Chevaine, Ablette, Gardon, Goujon, Chabot, Barbeau fluviatile, Loche de rivière, Bouvière, Tanche, Perche, Brochet, Gremille, Epinoche, Anguille d'Europe, Truite de riviere, Able de Heckel, Carassin argente, Rotengle",21
E,1993,"Truite de riviere, Chabot, Gardon, Anguille d'Europe",4
E,1995,"Gardon, Perche, Goujon, Epinoche, Rotengle, Tanche, Bouvière, Gremille, Brème commune, Anguille d'Europe, Brochet, Sandre, Truite arc-en-ciel, Loche franche, Chevaine, Epinochette, Chabot, Truite de riviere, Vairon, Lamproie de planer, Carassin, Carpe miroir, Ablette, Vandoise, Truite de mer, Loche de rivière, Lamproie de rivière, Barbeau fluviatile",28
E,1997,"Gardon, Goujon, Brème commune, Perche, Rotengle, Anguille d'Europe, Brème bordelière, Perche soleil, Loche franche, Pseudorasbora, Tanche, Brochet, Chevaine, Epinochette, Bouvière, Epinoche, Able de Heckel, Chabot, Truite de riviere, Vairon, Lamproie de planer, Truite arc-en-ciel, Ablette, Gremille, Carassin, Truite de mer, Loche de rivière, Vandoise, Sandre, Barbeau fluviatile",30
E,1999,"Chabot, Vairon, Anguille d'Europe, Lamproie marine, Truite de riviere, Lamproie de planer, Epinoche, Lamproie de rivière, Truite arc-en-ciel, Gardon, Perche, Goujon, Sandre, Brème commune, Gremille, Ablette, Tanche, Rotengle, Loche franche, Bouvière, Brochet, Brème bordelière, Able de Heckel, Loche de rivière, Carpe miroir, Carassin, Truite de mer, Perche soleil, Vandoise, Epinochette, Chevaine, Barbeau fluviatile",32
E,2001,"Chabot, Vairon, Anguille d'Europe, Truite de riviere, Lamproie de planer, Ablette, Gardon, Perche, Goujon, Loche franche, Brème commune, Gremille, Brème bordelière, Carassin, Bouvière, Carpe commune, Rotengle, Epinoche, Chevaine, Tanche, Brochet, Sandre, Truite arc-en-ciel, Loche de rivière, Vandoise, Truite de mer, Flet commun, Perche soleil",28
E,2003,"Vairon, Chabot, Anguille d'Europe, Lamproie de planer, Gardon, Truite de riviere, Epinoche, Vandoise, Lamproie de rivière, Truite arc-en-ciel, Loche franche, Goujon, Chevaine, Brème commune, Ablette, Tanche, Perche, Sandre, Bouvière, Pseudorasbora, Epinochette, Perche soleil, Gremille, Brème bordelière, Loche de rivière, Rotengle, Brochet, Able de Heckel, Truite de mer, Barbeau fluviatile, Lamproie marine",31
E,2005,"Vairon, Anguille d'Europe, Chabot, Lamproie de planer, Truite de riviere, Perche, Gardon, Truite arc-en-ciel, Carpe commune, Truite de mer, Epinoche, Goujon, Bouvière, Perche soleil, Brème commune, Loche franche, Pseudorasbora, Brochet, Sandre, Chevaine, Tanche, Rotengle, Brème bordelière, Ablette, Loche de rivière, Carassin, Carpe miroir, Gremille, Poisson chat, Saumon atlantique, Epinochette, Vandoise, Barbeau fluviatile, Cyprinidés",34
